ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary
604399,f,22/10/90,87.8,cbse,2009,84,cbse,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2013,650,665,810,0.694479328,485,366,-1,-1,-1,-1,-1,-0.159,0.3789,1.2396,0.1459,0.2889,445000
988334,m,15/05/90,57,cbse,2010,64.5,cbse,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2014,440,435,210,0.3423149,365,-1,-1,-1,-1,-1,-1,1.1336,0.0459,1.2396,0.5262,-0.2859,110000
301647,m,21/08/89,77.33,"maharashtra state board,pune",2007,85.17,amravati divisional board,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,485,475,505,0.824666401,-1,400,-1,-1,-1,260,-1,0.51,-0.1232,1.5428,-0.2902,-0.2875,255000
582313,m,04/05/91,84.3,cbse,2009,86,cbse,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,675,620,635,0.990008757,655,-1,-1,-1,-1,-1,-1,-0.4463,0.2124,0.3174,0.2727,0.4805,420000
339001,f,30/10/90,82,cbse,2008,75,cbse,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,575,495,365,0.278457409,315,-1,-1,-1,-1,-1,-1,-1.4992,-0.7473,-1.0697,0.06223,0.1864,200000
609356,f,02/12/89,83.16,icse,2007,77,cbse,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,535,595,620,0.376059587,455,300,-1,-1,-1,313,-1,0.8463,-0.6201,-0.7585,-0.995,-0.2859,440000
1081649,f,17/04/89,72.5,state board,2007,53.2,state board,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2013,510,495,405,0.8295846,-1,-1,-1,469,-1,-1,-1,0.1282,-0.4536,0.3174,0.9066,-0.0943,150000
610842,f,11/04/91,77,state board,2009,88,state board,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2013,370,470,280,0.704090412,465,-1,-1,-1,-1,-1,-1,0.1282,0.5454,0.4711,0.9066,-0.2859,105000
1183070,m,25/11/92,76.8,state board,2010,87.7,state board,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,510,555,440,0.744758354,525,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.1637,0.5262,-0.0943,195000
794062,f,15/03/93,57,state board,2009,73,state board,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2014,500,410,560,0.622642916,385,-1,407,-1,-1,-1,-1,-0.7335,-0.4536,-0.2974,1.4136,0.6721,200000
1088206,m,21/06/90,77,state board,2008,75,state board,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2013,675,630,485,0.20739217,405,260,-1,-1,-1,-1,-1,1.7081,0.5454,0.9322,-0.4879,0.8637,335000
1279958,m,02/07/92,81.2,state board,2008,79.9,state board,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,395,565,645,-1,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,300000
471413,f,24/12/91,85,delhi board,2009,88,all india board,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2013,495,445,605,0.765673581,485,-1,-1,-1,-1,-1,-1,-1.9629,-2.1903,-2.775,0.4148,-0.4455,480000
